id,lnClb,lnCub
fe3dhbzs_p,0,0
cu_e,0,0
pg160_p,0,0
pa120_p,0,0
ser__D_e,0,0
amp_e,0,0
ile__L_p,0,0
nmn_p,0,0
hxan_p,0,0
metsox_R__L_p,0,0
23cgmp_p,0,0
LalaDgluMdap_e,0,0
cgly_p,0,0
1agpg160_p,0,0
4abzglu_p,0,0
dad_2_e,0,0
thym_e,0,0
fecrm_p,0,0
ins_p,0,0
o2_p,0,0
ala_B_p,0,0
cbi_e,0,0
tungs_p,0,0
dtmp_e,0,0
dsbcrd_p,0,0
pgp181_p,0,0
orot_p,0,0
LalaDglu_p,0,0
lac__D_e,0,0
adn_p,0,0
asn__L_p,0,0
dgsn_p,0,0
manglyc_p,0,0
dms_p,0,0
h2s_p,0,0
feoxam_e,0,0
lipoate_e,0,0
so2_e,0,0
crn__D_e,0,0
chol_e,0,0
gly_e,0,0
tmao_e,0,0
acac_p,0,0
but_p,0,0
34dhpac_p,0,0
lipa_e,0,0
enlipa_e,0,0
n2o_e,0,0
cobalt2_p,0,0
mmet_p,0,0
aso3_e,0,0
dsbgox_p,0,0
pg140_p,0,0
crn_e,0,0
thm_e,0,0
glyald_e,0,0
indole_e,0,0
mg2_e,0,0
glyclt_p,0,0
xtsn_p,0,0
akg_p,0,0
g3pg_e,0,0
ttdcea_p,0,0
kdo2lipid4_p,0,0
fad_p,0,0
glyc_e,0,0
tartr__L_e,0,0
octa_e,0,0
gdp_e,0,0
dmso_p,0,0
gdp_p,0,0
4hoxpacd_e,0,0
acser_p,0,0
mththf_e,0,0
so4_e,0,0
orn_e,0,0
manglyc_e,0,0
ascb__L_p,0,0
idon__L_p,0,0
urea_p,0,0
halipa_e,0,0
lipoate_p,0,0
2agpg120_p,0,0
2agpg180_p,0,0
1agpe120_p,0,0
dxylnt_e,0,0
ile__L_e,0,0
h2s_e,0,0
acac_e,0,0
rib__D_p,0,0
xyl__D_p,0,0
inost_p,0,0
ocdca_p,0,0
g3ps_e,0,0
3gmp_p,0,0
anhgm4p_p,0,0
hacolipa_e,0,0
o16aund_p,0,0
12dgr161_p,0,0
12dgr120_p,0,0
pydam_p,0,0
btn_p,0,0
ch4_p,0,0
fmn_p,0,0
cholate_p,0,0
metglcur_p,0,0
4abut_e,0,0
glu__L_e,0,0
agm_p,0,0
chol_p,0,0
3hpppn_p,0,0
minohp_p,0,0
dcmp_p,0,0
eca3und_p,0,0
no_p,0,0
murein4p4p_p,0,0
enlipa_p,0,0
pg181_p,0,0
tyr__L_e,0,0
cys__L_e,0,0
26dap__M_e,0,0
ddca_e,0,0
cys__L_p,0,0
arbtn_fe3_p,0,0
orn_p,0,0
asp__L_p,0,0
crn_p,0,0
pro__L_p,0,0
co2_p,0,0
fad_e,0,0
dopa_p,0,0
g3pc_p,0,0
anhgm3p_p,0,0
udcpp_p,0,0
mg2_p,0,0
cyan_p,0,0
udpg_p,0,0
fe3dhbzs_e,0,0
1agpe160_p,0,0
quin_p,0,0
slnt_e,0,0
feenter_p,0,0
glcr_p,0,0
tre_p,0,0
imp_e,0,0
feoxam_un_p,0,0
gal1p_e,0,0
r5p_p,0,0
r5p_e,0,0
acser_e,0,0
mn2_p,0,0
tartr__D_e,0,0
his__L_e,0,0
hxan_e,0,0
na1_e,0,0
fmn_e,0,0
glyc3p_e,0,0
duri_p,0,0
tartr__L_p,0,0
26dap__M_p,0,0
adocbl_p,0,0
acolipa_p,0,0
butso3_p,0,0
progly_p,0,0
pa181_p,0,0
2agpe160_p,0,0
1hdecg3p_p,0,0
mal__D_p,0,0
5dglcn_p,0,0
arbt_e,0,0
sel_p,0,0
doxrbcn_p,0,0
inost_e,0,0
cytd_e,0,0
glyclt_e,0,0
12ppd__S_e,0,0
ppa_e,0,0
acmum_p,0,0
malttr_p,0,0
acald_p,0,0
gly_p,0,0
ser__D_p,0,0
o2s_p,0,0
23cump_p,0,0
uacgam_e,0,0
pa160_p,0,0
12ppd__R_p,0,0
f6p_p,0,0
kdo2lipid4_e,0,0
urate_p,0,0
h2o_c,0,0
xyl__D_e,0,0
galctn__D_e,0,0
spmd_p,0,0
ni2_p,0,0
xmp_p,0,0
pacald_e,0,0
LalaDgluMdapDala_p,0,0
o16a3und_p,0,0
sulfac_p,0,0
tcynt_e,0,0
pgp120_p,0,0
1agpg180_p,0,0
colipap_e,0,0
xan_e,0,0
ttdcea_e,0,0
trp__L_p,0,0
lcts_p,0,0
fruur_e,0,0
frulys_p,0,0
dump_e,0,0
3amp_p,0,0
hg2_p,0,0
dsbaox_p,0,0
pa161_p,0,0
galctn__L_p,0,0
glc__D_e,0,0
mobd_e,0,0
nh4_e,0,0
hdca_e,0,0
cynt_p,0,0
3hcinnm_p,0,0
ura_p,0,0
fald_e,0,0
uacgam_p,0,0
murein5p5p5p_p,0,0
murein4px4p_p,0,0
pg120_p,0,0
ins_e,0,0
gthox_e,0,0
fru_p,0,0
indole_p,0,0
o2_e,0,0
succ_e,0,0
xtsn_e,0,0
mmet_e,0,0
ala__L_p,0,0
galur_p,0,0
for_p,0,0
fecrm_e,0,0
mal__D_e,0,0
g3pg_p,0,0
acgam1p_p,0,0
murein5px4p_p,0,0
2agpg140_p,0,0
1agpe180_p,0,0
1agpg141_p,0,0
glcn_e,0,0
ump_e,0,0
enter_p,0,0
o2s_e,0,0
3cmp_p,0,0
udpgal_e,0,0
udpacgal_p,0,0
glyc2p_e,0,0
murein5p3p_p,0,0
pg161_p,0,0
2agpg141_p,0,0
1hdec9eg3p_p,0,0
cm_p,0,0
gua_e,0,0
arab__L_p,0,0
gsn_p,0,0
no3_p,0,0
ddca_p,0,0
fecrm_un_e,0,0
g3pi_e,0,0
g3pc_e,0,0
23camp_p,0,0
tyrp_p,0,0
pgp140_p,0,0
cysi__L_p,0,0
csn_e,0,0
ser__L_e,0,0
ttdca_e,0,0
galt_p,0,0
glc__D_p,0,0
phe__L_p,0,0
tsul_p,0,0
thm_p,0,0
arbtn_fe3_e,0,0
cl_e,0,0
damp_p,0,0
3gmp_e,0,0
udpglcur_p,0,0
pe180_p,0,0
3hpp_e,0,0
meoh_p,0,0
no3_e,0,0
duri_e,0,0
acnam_e,0,0
ni2_e,0,0
ch4_e,0,0
murein5px4px4p_p,0,0
gthox_p,0,0
ttrcyc_e,0,0
lac__L_e,0,0
galct__D_p,0,0
glcur_p,0,0
maltpt_p,0,0
so4_p,0,0
clpn180_p,0,0
2agpe180_p,0,0
gam6p_p,0,0
acgam_e,0,0
pnto__R_e,0,0
minohp_e,0,0
ac_p,0,0
malthx_p,0,0
cgly_e,0,0
fecrm_un_p,0,0
o16a4colipa_p,0,0
aso3_p,0,0
thrp_p,0,0
cys__D_p,0,0
pe161_p,0,0
pg180_p,0,0
2odec11eg3p_p,0,0
12ppd__R_e,0,0
1agpe140_p,0,0
23doguln_p,0,0
cbl1_e,0,0
xylu__L_e,0,0
arg__L_p,0,0
gam_p,0,0
glyb_p,0,0
lac__L_p,0,0
pydx_e,0,0
sel_e,0,0
glyc__R_e,0,0
eca4colipa_e,0,0
cyan_e,0,0
hom__L_p,0,0
gthrd_p,0,0
1odec11eg3p_p,0,0
fuc__L_e,0,0
tsul_e,0,0
hxa_e,0,0
leu__L_p,0,0
lyx__L_p,0,0
taur_p,0,0
h2o2_p,0,0
dimp_e,0,0
3ump_e,0,0
anhgm_p,0,0
ethso3_e,0,0
n2o_p,0,0
udpgal_p,0,0
pgp161_p,0,0
2dglc_p,0,0
ala_B_e,0,0
lac__D_p,0,0
ala__D_p,0,0
3cmp_e,0,0
butso3_e,0,0
acgal1p_p,0,0
acgal1p_e,0,0
2odecg3p_p,0,0
1tdecg3p_p,0,0
psclys_e,0,0
tartr__D_p,0,0
quin_e,0,0
psuri_e,0,0
sucr_e,0,0
urea_e,0,0
hdcea_e,0,0
gthrd_e,0,0
so3_e,0,0
acgam_p,0,0
melib_p,0,0
rmn_p,0,0
galctn__D_p,0,0
frulys_e,0,0
cmp_e,0,0
pydam_e,0,0
gmp_p,0,0
4hoxpacd_p,0,0
3amp_e,0,0
14glucan_e,0,0
sq_p,0,0
melib_e,0,0
maltttr_e,0,0
glcur_e,0,0
gbbtn_e,0,0
cbl1_p,0,0
enter_e,0,0
urate_e,0,0
mal__L_e,0,0
phe__L_e,0,0
ptrc_e,0,0
malthx_e,0,0
feoxam_p,0,0
glu__L_p,0,0
nac_p,0,0
unagamuf_p,0,0
glyc__R_p,0,0
ethso3_p,0,0
dsbgrd_p,0,0
ppal_e,0,0
acolipa_e,0,0
fusa_e,0,0
4hbz_p,0,0
maltpt_e,0,0
no_e,0,0
meoh_e,0,0
2ddglcn_p,0,0
glyc3p_p,0,0
gtp_p,0,0
3ump_p,0,0
pa140_p,0,0
agm_e,0,0
lys__L_p,0,0
cpgn_e,0,0
cpgn_p,0,0
tym_p,0,0
peamn_e,0,0
23ccmp_p,0,0
cu_p,0,0
udpacgal_e,0,0
murein4px4px4p_p,0,0
5mtr_e,0,0
galct__D_e,0,0
met__D_p,0,0
fe3_p,0,0
tyrp_e,0,0
2ddecg3p_p,0,0
2hdec9eg3p_p,0,0
2dglc_e,0,0
pi_e,0,0
fe3_e,0,0
asp__L_e,0,0
thr__L_e,0,0
metsox_S__L_e,0,0
15dap_e,0,0
etha_e,0,0
k_p,0,0
xylu__L_p,0,0
fe3hox_e,0,0
g3ps_p,0,0
mso3_p,0,0
o16a2und_p,0,0
acgam1p_e,0,0
pa141_p,0,0
12dgr141_p,0,0
pa180_p,0,0
1agpe141_p,0,0
1agpg161_p,0,0
LalaDglu_e,0,0
cm_e,0,0
fe3dhbzs3_p,0,0
fum_e,0,0
acald_e,0,0
fe3hox_p,0,0
fe3hox_un_e,0,0
pydxn_e,0,0
tym_e,0,0
2agpe120_p,0,0
2agpg160_p,0,0
2agpg161_p,0,0
1tdec7eg3p_p,0,0
1agpg140_p,0,0
rfamp_e,0,0
rfamp_p,0,0
galur_e,0,0
pi_p,0,0
h2_p,0,0
etoh_p,0,0
feoxam_un_e,0,0
ump_p,0,0
cmp_p,0,0
23cgmp_e,0,0
pser__L_e,0,0
hdcea_p,0,0
mincyc_e,0,0
h2o_e,0,0
rib__D_e,0,0
uri_e,0,0
trp__L_e,0,0
din_e,0,0
alltn_p,0,0
dad_2_p,0,0
etha_p,0,0
dgmp_p,0,0
23dappa_p,0,0
g3pi_p,0,0
23camp_e,0,0
uLa4n_p,0,0
cpgn_un_p,0,0
pgp141_p,0,0
pgp180_p,0,0
psclys_p,0,0
dhps_e,0,0
mnl_e,0,0
for_e,0,0
ade_p,0,0
sbt__D_p,0,0
12ppd__S_p,0,0
dca_p,0,0
fe3dcit_p,0,0
h2o2_e,0,0
23cump_e,0,0
eca2und_p,0,0
cl_p,0,0
murein4p3p_p,0,0
12dgr160_p,0,0
1agpg120_p,0,0
tungs_e,0,0
