reaction	g0
GDPt3g_reverse	-1e-05
GDPtn	1e-05
GDPtn_reverse	-1e-05
GF6PTA	-15.4
GGLGH	1e-05
GGLGH_reverse	-1e-05
GGTT	-80.6
GHMT2r	-10.1
GHMT2r_reverse	10.1
GHMT2rm	-10.1
GHMT2rm_reverse	10.1
GK1	-1e-05
GK1_reverse	1e-05
GK2	-2.4
GK2_reverse	2.4
GLCGSD	862.0
GLCGSDv	862.0
GLCNtv	1e-05
GLCP	879.0
GLCS2	-890.0
GLCt1	1e-05
GLCtv	1e-05
GLCtv_reverse	-1e-05
GLNS	-14.8
GLNTRS	-1e-05
GLNt2n	1e-05
GLNt2n_reverse	-1e-05
GLNt2r	1e-05
GLNt2r_reverse	-1e-05
GLNt6	1e-05
GLNt7	1e-05
GLPT	-1e-05
GLU5K	28.8
GLUCYS	-35.0
GLUDC	-21.3
GLUDxi	34.02
GLUDy	34.0
GLUK	-13.0
GLUN	-14.3
GLUPRT	-63.3
GLUSx	-48.3
GLUTRS	-1e-05
GLUTRSm	-1e-05
GLUt2n	1e-05
GLUt2n_reverse	-1e-05
GLUt2r	1e-05
GLUt2r_reverse	-1e-05
GLUt5m	1e-05
GLUt7	1e-05
GLUt7m	1e-05
GLXt	1e-05
GLXt_reverse	-1e-05
GLXtp	1e-05
GLXtp_reverse	-1e-05
GLYAT	33.2
GLYC3Ptm	1e-05
GLYCDy	21.5
GLYCLm	19.0
GLYCt	1e-05
GLYCt2	1e-05
GLYCt_reverse	-1e-05
GLYGS	-1e-05
GLYK	-16.1
GLYOX	-33.4
GLYOXm	-33.4
GLYTRS	-1e-05
GLYt2m	1e-05
GLYt2m_reverse	-1e-05
GLYt2r	1e-05
GLYt2r_reverse	-1e-05
GMPS2	-0.0
GND	10.3
GNNUC	-2.6
GPDDA1	-0.0
GRTT	-80.6
GSNK	-21.5
GSNt2	1e-05
GSNt2m	1e-05
GSNt2m_reverse	-1e-05
GTHOXti	1e-05
GTHOm	-13.1
GTHOr	-13.1
GTHPi	-308.7
GTHPi_reverse	308.7
GTHPm	-308.7
GTHPm_reverse	308.7
GTHRDabcv	-29.14
GTHRDt2	1e-05
GTHS	-30.2
GTMLT	4.1
GTPCI	-67.0
GTPCII	-1e-05
GTPH1	-55.6
GTPt2m	1e-05
GUAD	0.0
GUAPRT	-31.7
GUAt2r	1e-05
GUAt2r_reverse	-1e-05
GUAtm	1e-05
GUAtm_reverse	-1e-05
H2O2tn	1e-05
H2O2tn_reverse	-1e-05
H2Ot	1e-05
H2Ot_reverse	-1e-05
H2Oter	1e-05
H2Oter_reverse	-1e-05
H2Otm	1e-05
H2Otm_reverse	-1e-05
H2Otn	1e-05
H2Otn_reverse	-1e-05
H2Otp	1e-05
H2Otp_reverse	-1e-05
H2Otv	1e-05
H2Otv_reverse	-1e-05
HACD10p	1e-05
HACD10p_reverse	-1e-05
HACD4p	-16.2
HACD4p_reverse	16.2
HACD5p	-16.2
HACD5p_reverse	16.2
HACD6p	-16.2
HACD6p_reverse	16.2
HACD7p	-16.2
HACD7p_reverse	16.2
HACD8p	-16.2
HACD8p_reverse	16.2
HACNHm	1.2
HACNHm_reverse	-1.2
HBZOPT6m	-83.9
HCITSm	-1e-05
HCITSn	-1e-05
HCO3E	-7.5
HCO3E_reverse	7.5
HCO3Em	-7.5
HCO3Em_reverse	7.5
HCO3En	-7.5
HCO3En_reverse	7.5
HCO3tn	1e-05
HCO3tn_reverse	-1e-05
HCYSMT	-1e-05
HCYSt2p	1e-05
HCYSt2p_reverse	-1e-05
HDCAt	1e-05
HDCEAt	1e-05
HEMEOMOm	-1e-05
HEMEOSm	-1e-05
HETZK	-17.8
HEX1	-19.9
HEX4	-18.8
HEX7	-17.1
HEXCCOAtx	1e-05
HEXCCOAtx_reverse	-1e-05
HEXDPtm	1e-05
HEXDPtm_reverse	-1e-05
HGNTOR	-263.0
HICITDm	18.7
HICITDm_reverse	-18.7
HISTD	-15.9
HISTP	-19.9
HISTRS	-1e-05
HISTRSm	-1e-05
HISt2m	1e-05
HISt2m_reverse	-1e-05
HISt2r	1e-05
HISt2r_reverse	-1e-05
HISt6	1e-05
HKYNH	-55.5
HMBS	-132.0
HMGCOAR	-1.9
HMGCOAR_reverse	1.9
HMGCOAS	19.2
HMGCOAS_reverse	-19.2
HMGCOASm	19.2
HMGCOASm_reverse	-19.2
HMGCOAtm	1e-05
HMGCOAtm_reverse	-1e-05
HMPK1	-11.0
HPPKm	1e-05
HPROa	-45.0
HPROb	-45.0
HPROxm	45.0
HPROym	45.0
HSDxi	-20.0
HSDy	20.0
HSERTA	-29.0
HSERTA_reverse	29.0
HSK	-39.0
HSTPT	8.8
HXANt2r	1e-05
HXANt2r_reverse	-1e-05
HXPRT	-30.3
HYPOE	-13.9
IAMACt	1e-05
IAMOHt	1e-05
IAMOHt_reverse	-1e-05
IAMOHtm	1e-05
IAMOHtm_reverse	-1e-05
IBUTACt	1e-05
IBUTOHt	1e-05
IBUTOHt_reverse	-1e-05
IBUTOHtm	1e-05
IBUTOHtm_reverse	-1e-05
ICDHxm	5.4
ICDHym	5.4
ICDHyp	5.4
ICDHyr	5.4
ICL	9.5
ID3ACALDt	1e-05
ID3ACALDt_reverse	-1e-05
ID3ACALDtm	1e-05
ID3ACALDtm_reverse	-1e-05
IG3PS	0.0
IGPDH	-41.3
IGPS	-73.0
ILETA	-5.9
ILETA_reverse	5.9
ILETAm	-5.9
ILETAm_reverse	5.9
ILETRS	-1e-05
ILETRSm	-1e-05
ILEt2r	1e-05
ILEt2r_reverse	-1e-05
ILEt6	1e-05
ILEt7	1e-05
ILEtmi	1e-05
IMPC	20.0
IMPC_reverse	-20.0
IMPD	17.0
IND3ACtm	1e-05
IND3ACtm_reverse	-1e-05
IND3ETHt	1e-05
IND3ETHt_reverse	-1e-05
IND3ETHtm	1e-05
IND3ETHtm_reverse	-1e-05
INDPYRD	8.0
INDPYRD_reverse	-8.0
INSK	-23.7
INSTt2	1e-05
INSt2	1e-05
IPC124PLC_SC	1e-05
IPC126PLC_SC	1e-05
IPC224PLC_SC	1e-05
IPC226PLC_SC	1e-05
IPC324PLC_SC	1e-05
IPC326PLC_SC	1e-05
IPCS124_SC	1e-05
IPCS126_SC	1e-05
IPCS224_SC	1e-05
IPCS226_SC	1e-05
IPCS324_SC	1e-05
IPCS326_SC	1e-05
IPDDI	-4.8
IPDDI_reverse	4.8
IPDPtm	1e-05
IPDPtm_reverse	-1e-05
IPMD	16.2
IPPMIa	-3.7
IPPMIa_reverse	3.7
IPPMIb	-0.4
IPPMIb_reverse	0.4
IPPS	-25.9
IPPSm	-25.9
ITCOALm	-4.7
ITCOALm_reverse	4.7
KARA1im	-16.2
KARA2im	-16.2
KYN	-55.5
KYN3OX	-440.0
Kt2r	1e-05
Kt2r_reverse	-1e-05
LALDO3	-8.8
LANOSTAT_SC	-1728.0
LANOSTESTH_SC	152.1
LANOSTESTH_SCe	152.1
LANOSTt	1e-05
LANOSTt_reverse	-1e-05
LCADi	-51.2
LCYSTintv	1e-05
LEUTA	0.3
LEUTA_reverse	-0.3
LEUTAm	0.3
LEUTAm_reverse	-0.3
LEUTRS	-1e-05
LEUTRSm	-1e-05
LEUt2r	1e-05
LEUt2r_reverse	-1e-05
LEUt6	1e-05
LEUt7	1e-05
LGTHL	-23.5
LNS14DM	-1e-05
LNS14DMx	-1e-05
LNSTLS	-1e-05
LPCAT_SC	-1728.0
LPP_SC	-904.0
LSERDHr	14.4
LSERDHr_reverse	-14.4
LYSTRS	-1e-05
LYSTRSm	-1e-05
LYSt2m	1e-05
LYSt2m_reverse	-1e-05
LYSt2r	1e-05
LYSt2r_reverse	-1e-05
LYSt6	1e-05
L_LACD2cm	-1e-05
L_LACt2r	1e-05
L_LACt2r_reverse	-1e-05
L_LACtm	1e-05
L_LACtm_reverse	-1e-05
MACACI	-1.584638843610264e-05
MALOAAtp	1e-05
MALOAAtp_reverse	-1e-05
MALS	-38.1
MALSp	-38.1
MALT	-14.2
MALTt2	1e-05
MALt2r	1e-05
MALt2r_reverse	-1e-05
MALtm	1e-05
MALtm_reverse	-1e-05
MAN1PT	-8.5
MAN6PI	-1.2
MAN6PI_reverse	1.2
MANNANter	1e-05
MANNANter_reverse	-1e-05
MANt2	1e-05
MCITDm	1e-05
MCITDm_reverse	-1e-05
MCITL2m	1e-05
MCITSm	-39.8
MCOATA	-1e-05
MCOATA_reverse	1e-05
MCOATAm	-1e-05
MCOATAm_reverse	1e-05
MDH	27.1
MDH_reverse	-27.1
MDHm	27.1
MDHm_reverse	-27.1
MDHp	27.1
MDHp_reverse	-27.1
MDRPD	-41.0
ME1m	12.1
ME2m	12.1
MELIBt2	1e-05
MELTGH	15.7
MELTGH_reverse	-15.7
METAT	-1e-05
METB1	-72.0
METS	0.0
METTRS	-1e-05
METTRSm	-1e-05
METt2m	1e-05
METt2m_reverse	-1e-05
METt2r	1e-05
METt2r_reverse	-1e-05
MEVK1	-16.7
MEVK2	-16.9
MEVK3	-14.0
MEVK4	-16.4
MFAPS_SC	-1e-05
MGSA	-59.6
MHPGLUT	-39.0
MI13456PKn	1e-05
MI1345PKn	1e-05
MI1456PKn	1e-05
MI145P6Kn	1e-05
MI145PKn	1e-05
MI145Ptn	1e-05
MI145Ptn_reverse	-1e-05
MI1PP	-22.9
MI1PS	-60.0
MINOHPtn	1e-05
MINOHPtn_reverse	-1e-05
MIP2C124PLC_SC	-1e-05
MIP2C126PLC_SC	-1e-05
MIP2C224PLC_SC	-1e-05
MIP2C226PLC_SC	-1e-05
MIP2C324PLC_SC	-1e-05
MIP2C326PLC_SC	-1e-05
MIP2CS124_SC	1e-05
MIP2CS126_SC	1e-05
MIP2CS224_SC	1e-05
MIP2CS226_SC	1e-05
MIP2CS324_SC	1e-05
MIP2CS326_SC	1e-05
MIPC124PLC_SC	1e-05
MIPC126PLC_SC	1e-05
MIPC224PLC_SC	1e-05
MIPC226PLC_SC	1e-05
MIPC324PLC_SC	1e-05
MIPC326PLC_SC	1e-05
MIPCS124_SC	228.0
MIPCS126_SC	228.0
MIPCS224_SC	228.0
MIPCS226_SC	228.0
MIPCS324_SC	228.0
MIPCS326_SC	228.0
MMETt2	1e-05
MOHMT	10.0
MTAP	10.5
MTHFC	-5.3
MTHFC_reverse	5.3
MTHFCm	-5.3
MTHFCm_reverse	5.3
MTHFD	7.0
MTHFD2i	7.0
MTHFD_reverse	-7.0
MTHFDm	7.0
MTHFDm_reverse	-7.0
MTHFR3	-41.0
MTRI	-10.1
MTRI_reverse	10.1
NABTNO	-42.6
NACt	1e-05
NACt_reverse	-1e-05
NADDPp	-38.9
NADH2_u6cm	-132.0
NADH2_u6m	-132.0
NADK	-12.2
NADKm	-12.2
NADN	-37.0
NADNm	-37.0
NADPPPS	-16.9
NADPPPSm	-16.9
NADPt	1e-05
NADPt_reverse	-1e-05
NADS1	-22.5
NADS1n	-22.5
NADtn	1e-05
NADtn_reverse	-1e-05
NAPRT	-7.5
NAPRTm	-7.5
NAt3_1	1e-05
NAt3_1_reverse	-1e-05
NDP1	-29.41
NDP3	-29.1
NDP3g	-29.1
NDP4	-34.2
NDP7	-28.5
NDPK1	-2.7
NDPK1_reverse	2.7
NDPK2	-0.3
NDPK2_reverse	0.3
NDPK3	0.3
NDPK3_reverse	-0.3
NDPK4	0.1
NDPK4_reverse	-0.1
NDPK5	1.8
NDPK5_reverse	-1.8
NDPK6	-1.5
NDPK6_reverse	1.5
NDPK7	4.1
NDPK7_reverse	-4.1
NDPK8	2.4
NDPK8_reverse	-2.4
NDPK9	1.3
NDPK9_reverse	-1.3
NFORTYRt	1e-05
NFTYROX	-1e-05
NH4t	1e-05
NH4t_reverse	-1e-05
NH4ti	1e-05
NH4tm	1e-05
NH4tm_reverse	-1e-05
NH4tn	1e-05
NH4tn_reverse	-1e-05
NH4tp	1e-05
NH4tp_reverse	-1e-05
NMNAT	-3.1
NMNATm	-3.1
NMNTP	1e-05
NMNt2m	1e-05
NMNt2m_reverse	-1e-05
NMNt2p	1e-05
NMNt2p_reverse	-1e-05
NNAM	-4.3
NNAM_reverse	4.3
NNAMrm	-4.3
NNAMrm_reverse	4.3
NNATm	-25.0
NNATr	-25.0
NNDPR	-27.0
NNDPRm	-27.0
NNMT	1e-05
NTD1	-13.3
NTD10	-11.5
NTD11	-5.4
NTD2	-8.0
NTD3	-16.4
NTD4	-14.0
NTD5	-9.2
NTD6	-16.2
NTD7	-14.6
NTD8	-14.2
NTD9	-7.7
NTP3	-26.5
NTP4	-31.0
NTRLASE	1e-05
NTRLASE2	1e-05
NTRLASE3	1e-05
O2t	1e-05
O2t_reverse	-1e-05
O2ter	1e-05
O2ter_reverse	-1e-05
O2tm	1e-05
O2tm_reverse	-1e-05
OAAt	1e-05
OAAt2m	1e-05
OAAt2m_reverse	-1e-05
OAAt_reverse	-1e-05
OBDHm	-18.0
OCBT	-30.2
OCDCAt	1e-05
OCDCEAt	1e-05
OCDCYAt	1e-05
OHACT1	-1e-05
OHACT2	-3.9
OHACT3	-3.9
OHACT4	-3.9
OHACT5	-3.9
OHPBAT	10.6
OHPBAT_reverse	-10.6
OMCDC	-15.0
OMCDCm	-15.0
OMPDC	-23.0
ORNDC	-27.0
ORNTA	-4.0
ORNTACim	2.1
ORNt2r	1e-05
ORNt2r_reverse	-1e-05
ORNt3m	1e-05
ORNt3m_reverse	-1e-05
ORPT	-4.8
ORPT_reverse	4.8
OXAGm	-8.6
OXAGm_reverse	8.6
OXO2Ctm	1e-05
OXO2Ctm_reverse	-1e-05
P5CDm	-14.0
P5CR	-16.0
PACALDt	1e-05
PACALDt_reverse	-1e-05
PACALDtm	1e-05
PACALDtm_reverse	-1e-05
PAK_SC	874.9
PAN4Ptm	1e-05
PAN4Ptm_reverse	-1e-05
PANTS	-43.0
PANTtm	1e-05
PANTtm_reverse	-1e-05
PAPSR	-42.0
PAPt	1e-05
PAPt_reverse	-1e-05
PAPtm	1e-05
PAPtm_reverse	-1e-05
PAtm_SC	1e-05
PAtm_SC_reverse	-1e-05
PC	-6.7
PCDAGAT	1e-05
PDE1	-43.1
PDE2	1e-05
PDE3	1e-05
PDE4	-35.5
PDE5	1e-05
PDHm	-34.2
PDX5POi	-114.0
PDX5POi_reverse	114.0
PENDPtm	1e-05
PENDPtm_reverse	-1e-05
PEPAT	-1e-05
PEPDt3	1e-05
PETHCT	-4.1
PETOHM_SC	-1e-05
PEtg_SC	1e-05
PEtg_SC_reverse	-1e-05
PEtm_SC	1e-05
PEtm_SC_reverse	-1e-05
PEtv_SC	1e-05
PEtv_SC_reverse	-1e-05
PFK	-17.1
PFK26	6.2
PFK_2	-20.5
PFK_3	-16.0
PGAMT	-3.0
PGAMT_reverse	3.0
PGCD	31.4
PGI	2.6
PGI_reverse	-2.6
PGK	19.5
PGK_reverse	-19.5
PGL	-24.8
PGM	-4.5
PGMT	-7.4
PGMT_reverse	7.4
PGM_reverse	4.5
PGPPAm_SC	-904.0
PHCDm	2.0
PHCHGSm	45.0
PHCHGSm_reverse	-45.0
PHEACt	1e-05
PHETA1	-0.1
PHETA1_reverse	0.1
PHETRS	-1e-05
PHETRSm	-1e-05
PHEt2m	1e-05
PHEt2m_reverse	-1e-05
PHEt2r	1e-05
PHEt2r_reverse	-1e-05
PI35BP5P_SC	-904.0
PI3P4K_SC	874.9
PI3P5K_SC	874.9
PI45BP5P_SC	-904.0
PI45BPP_SC	-1e-05
PI4P5K_SC	874.9
PIN3K_SC	874.9
PIN4K_SC	874.9
PIN4Kn_SC	874.9
PINOS_SC	-377.0
PIt2m	1e-05
PIt2m_reverse	-1e-05
PIt2n	1e-05
PIt2n_reverse	-1e-05
PIt2p	1e-05
PIt2p_reverse	-1e-05
PIt2r	1e-05
PIt2r_reverse	-1e-05
PIt2v	1e-05
PIt2v_reverse	-1e-05
PIt5m	1e-05
PIt5m_reverse	-1e-05
PLBP1I_SCe	152.1
PLBPC_SC	152.1
PLBPC_SCe	152.1
PLD_SC	1e-05
PMANM	-4.5
PMANM_reverse	4.5
PMDPHT	-15.1
PMETM_SC	-1e-05
PMEVK	0.6
PMI12346PH	-38.6
PMI12346PS	9.5
PMI1346PH	-1e-05
PMI1346PS	1e-05
PMPK	6.0
PNP	-19.2
PNP_reverse	19.2
PNTK	-17.3
PNTOt2	1e-05
PNTOt2_reverse	-1e-05
POLYAO	-90.0
POLYAO2	-87.0
POLYAO3	-87.0
PPA	-16.53
PPAm	-16.53
PPBNGS	-103.0
PPCDC	-21.2
PPCK	10.6
PPM	-13.8
PPM_reverse	13.8
PPNCL2	-56.0
PPND	-11.0
PPND2	-11.0
PPNDH	-65.0
PPPG9tm	1e-05
PPPG9tm_reverse	-1e-05
PPPGOm	-1e-05
PPTTm	-80.6
PPYRDC	-23.0
PRAGSr	-27.0
PRAGSr_reverse	27.0
PRAIS	0.0
PRAIi	-9.8
PRAMPC	-1e-05
PRASCSi	-76.0
PRASCSi_reverse	76.0
PRATPP	-1e-05
PRFGS	0.0
PRMICI	-9.8
PRO1xm	16.0
PROTRS	-1e-05
PROt2r	1e-05
PROt2r_reverse	-1e-05
PROtm	1e-05
PROtm_reverse	-1e-05
PRPPS	-0.4
PRPPS_reverse	0.4
PRPPtm	1e-05
PRPPtm_reverse	-1e-05
PSCVT	-16.5
PSERDg_SC	-386.0
PSERDm_SC	-386.0
PSERDv_SC	-386.0
PSERS_SC	-629.0
PSERS_SC_reverse	629.0
PSERSm_SC	-629.0
PSERSm_SC_reverse	629.0
PSERT	-10.9
PSPH1Pter	1e-05
PSPHPL	1.1
PSPHS	-394.6
PSP_L	-10.4
PStg_SC	1e-05
PStg_SC_reverse	-1e-05
PStm_SC	1e-05
PStm_SC_reverse	-1e-05
PStv_SC	1e-05
PStv_SC_reverse	-1e-05
PTD1INOtn_SC	1e-05
PTD1INOtn_SC_reverse	-1e-05
PTD4INOtn_SC	1e-05
PTD4INOtn_SC_reverse	-1e-05
PTE10x	1e-05
PTE11x	-1e-05
PTE12x	1e-05
PTE2x	-29.0
PTE7x	-1e-05
PTE8x	-29.3
PTE9x	-29.3
PTPATi	-19.0
PTPATim	-19.0
PTRCt3i	1e-05
PTRCtex2	1e-05
PUNP1	8.2
PUNP1_reverse	-8.2
PUNP1m	8.2
PUNP1m_reverse	-8.2
PUNP2	9.8
PUNP2_reverse	-9.8
PUNP3	11.6
PUNP3_reverse	-11.6
PUNP3m	11.6
PUNP3m_reverse	-11.6
PUNP4	17.0
PUNP4_reverse	-17.0
PUNP5	8.0
PUNP5_reverse	-8.0
PUNP6	8.4
PUNP6_reverse	-8.4
PUNP7	10.8
PUNP7_reverse	-10.8
PYAM5PO	-97.0
PYDAMK	-15.3
PYDXK	-17.0
PYDXNK	-9.6
PYDXNO	-107.0
PYDXNO_reverse	107.0
PYDXO	391.0
PYDXO_reverse	-391.0
PYK	-25.6
PYNP2r	0.8
PYNP2r_reverse	-0.8
PYR5CDm	-49.7
PYRDC	-14.1
PYRDC2	-28.0
PYRt	1e-05
PYRt2	1e-05
PYRt2m	1e-05
PYRt2m_reverse	-1e-05
PYRt2p	1e-05
PYRt2p_reverse	-1e-05
QUILSYN	-160.0
QULNS	-219.0
QULNtm	1e-05
QULNtm_reverse	-1e-05
RAFGH	2.0
RBFK	-13.3
RBFKm	-13.3
RBFSa	-98.0
RBFSb	-97.0
RBK	-28.8
RIBFLVt2	1e-05
RIBFLVtm	1e-05
RIBFLVtm_reverse	-1e-05
RIBt2	1e-05
RNDR1	-43.0
RNDR1n	-43.0
RNDR2	-38.9
RNDR2n	-38.9
RNDR3	-39.6
RNDR3n	-39.6
RNDR4	-41.5
RNDR4n	-41.5
RNMK	-35.0
RNTR1	-40.0
RNTR2	-34.4
RNTR3	-35.7
RNTR4	-42.7
RPE	-3.4
RPE_reverse	3.4
RPI	4.5
RPI_reverse	-4.5
SACCD1	-34.5
SACCD1_reverse	34.5
SACCD2	34.2
SACCD2_reverse	-34.2
SADT	46.5
SAM24MT	-1e-05
SBPP1er	-18.2
SBPP2er	-18.2
SBTD_D2	9.1
SBTD_L	14.6
SBTR	-9.2
SBT_Dt	1e-05
SBT_Dt_reverse	-1e-05
SBT_Lt	1e-05
SBT_Lt_reverse	-1e-05
SERAT	-6.4
SERD_L	-30.2
SERPT	8.0
SERTRS	-1e-05
SERt2m	1e-05
SERt2m_reverse	-1e-05
SERt2r	1e-05
SERt2r_reverse	-1e-05
SFGTHi	-8.0
SFGTHi_reverse	8.0
SHCHD	-1e-05
SHCHF	1e-05
SHK3Dr	-7.1
SHKK	-25.7
SHSL1	-64.0
SHSL4r	-61.0
SHSL4r_reverse	61.0
SLCBK1	-10.9
SLCBK2	-10.9
SLFAT	59.1
SLFAT_reverse	-59.1
SO3ti	1e-05
SO4ti	1e-05
SPH1Pter	1e-05
SPHPL	1.0
SPMDAT1	-23.0
SPMDt3i	1e-05
SPMDtex2	1e-05
SPMS	1e-05
SPRMS	-1e-05
SPRMt2i	1e-05
SQ23EPXter	1e-05
SQ23EPXter_reverse	-1e-05
SQLEr	-414.0
SQLErx	-414.0
SQLS	-171.0
SQLter	1e-05
SQLter_reverse	-1e-05
SRB_Lt	1e-05
SRB_Lt_reverse	-1e-05
SSALy	-41.3
SUCCt2r	1e-05
SUCCt2r_reverse	-1e-05
SUCCtm	1e-05
SUCD1m	42.0
SUCD1m_reverse	-42.0
SUCD2_u6m	-74.0
SUCD2_u6m_reverse	74.0
SUCD3_u6m	-116.0
SUCD3_u6m_reverse	116.0
SUCFUMtm	1e-05
SUCOASm	-1.3
SUCOASm_reverse	1.3
SUCRe	-24.7
SUCRt2	1e-05
SULR	-112.0
SULR_reverse	112.0
T4HCINNMFM	-0.4
TAGL_SC	152.1
TALA	-0.9
TALA_reverse	0.9
TAUDO	-0.0
TAURt	1e-05
TAURt_reverse	-1e-05
TCHOLAabcv	-29.14
THFATm	45.0
THFGLUS	-1e-05
THFGLUS_reverse	1e-05
THIORDXi	-313.0
THIORDXm	-313.0
THIORDXm_reverse	313.0
THIORDXni	-313.0
THIORDXp	-313.0
THIORDXp_reverse	313.0
THMDPe	-53.3
THMDt2	1e-05
THMP	-73.0
THMPPt2m	1e-05
THMPe	-73.0
THMt2	1e-05
THRA	10.0
THRA2	-0.1
THRD_L	-24.0
THRD_Lm	-24.0
THRS	-29.4
THRTRS	-1e-05
THRTRSm	-1e-05
THRt2m	1e-05
THRt2m_reverse	-1e-05
THRt2r	1e-05
THRt2r_reverse	-1e-05
THYMt3r	1e-05
THYMt3r_reverse	-1e-05
THZPSN1_SC	-1e-05
THZPSN2_SC	-1e-05
TKT1	-1.5
TKT1_reverse	1.5
TKT2	-10.3
TKT2_reverse	10.3
TMDK1	-19.9
TMDPK	-5.2
TMDPP	6.0
TMDPPK	7.7
TMDPP_reverse	-6.0
TMDS	-45.3
TMN	51.0
TMPK	-49.0
TMPK_reverse	49.0
TMPPP	-26.5
TPI	5.6
TPI_reverse	-5.6
TRDOXtp	1e-05
TRDOXtp_reverse	-1e-05
TRDR	-8.4
TRDRDtp	1e-05
TRDRDtp_reverse	-1e-05
TRDRm	-8.4
TRE6PP	-4.2
TRE6PS	-18.2
TREH	-14.6
TREHv	-14.6
TREt2	1e-05
TREt2v	1e-05
TREt2v_reverse	-1e-05
TRIGS_SC	-1728.0
TRPO2	-342.0
TRPS1	-31.5
TRPTA	-39.0
TRPTA_reverse	39.0
TRPTRS	-1e-05
TRPTRSm	-1e-05
TRPt2m	1e-05
TRPt2m_reverse	-1e-05
TRPt2r	1e-05
TRPt2r_reverse	-1e-05
TTCCOAtx	1e-05
TTCCOAtx_reverse	-1e-05
TTDCAtr	1e-05
TTDCAtr_reverse	-1e-05
TYRNFT	-45.0
TYRTAi	-0.4
TYRTAim	-0.4
TYRTAip	-0.4
TYRTRS	-1e-05
TYRTRSm	-1e-05
TYRt2m	1e-05
TYRt2m_reverse	-1e-05
TYRt2p	1e-05
TYRt2p_reverse	-1e-05
TYRt2r	1e-05
TYRt2r_reverse	-1e-05
TYRt6	1e-05
TYRt7	1e-05
UDPACGLP	-6.6
UDPACGLP_reverse	6.6
UDPG4E	1.3
UDPG4E_reverse	-1.3
UDPGALt2g	1e-05
UGLT	-2.5
UGLT_reverse	2.5
UGLYCH	-20.0
UGLYCH_reverse	20.0
UMPK	-0.7
UMPK_reverse	0.7
UMPKn	-0.7
UMPKn_reverse	0.7
UMPtn	1e-05
UMPtn_reverse	-1e-05
UNK3	10.4
UPP3MT	-1e-05
UPP3S	-0.0
UPPDC1	-25.0
UPPRT	-20.0
URAt2	1e-05
UREA2t2	1e-05
UREA2t2_reverse	-1e-05
UREASE	30.0
UREASE_reverse	-30.0
URIDK2r	0.9
URIDK2r_reverse	-0.9
URIDK2rn	0.9
URIDK2rn_reverse	-0.9
URIK1	-21.0
URIK2	-18.0
URIt2	1e-05
UTPH1	-57.0
UTPtm	1e-05
VALTA	1.7
VALTA_reverse	-1.7
VALTAim	1.7
VALTRS	-1e-05
VALTRSm	-1e-05
VALt2m	1e-05
VALt2m_reverse	-1e-05
VALt2r	1e-05
VALt2r_reverse	-1e-05
XANt	1e-05
XANt_reverse	-1e-05
XPPT	-27.1
XTSNt2	1e-05
XYLK	-24.3
XYLR	-13.3
XYLTD_D	17.0
XYLTt	1e-05
XYLTt_reverse	-1e-05
XYLt	1e-05
XYLt_reverse	-1e-05
YUMPS	-1e-05
YUMPS_reverse	1e-05
ZYMSTAT_SC	-1728.0
ZYMSTESTH_SC	152.1
ZYMSTESTH_SCe	152.1
ZYMSTt	1e-05
ZYMSTt_reverse	-1e-05
