reaction	g0
ALATA_Lm_reverse	-0.2
ALATRS	-1e-05
ALAt2r	1e-05
ALAt2r_reverse	-1e-05
ALAtmi	1e-05
ALCD19y	-36.7
ALCD22xi	-18.2
ALCD22xim	-18.2
ALCD22yi	-18.2
ALCD23xi	-18.2
ALCD23xim	-18.2
ALCD23yi	-18.2
ALCD24xi	-18.2
ALCD24xim	-18.2
ALCD24yi	-18.2
ALCD25xi	-18.2
ALCD25xim	-18.2
ALCD25yi	-18.2
ALCD26xi	-18.2
ALCD26xim	-18.2
ALCD2ir	-18.66
ALCD2irm	-18.66
ALCD2x_copy1	18.66
ALCD2x_copy2	18.66
ALCD2x_copy2_reverse	-18.66
ALDD19xr	-42.2
ALDD20xm	-42.9
ALDD20y	-42.9
ALDD20ym	-42.9
ALDD22x	-45.0
ALDD2xm	-54.5
ALDD2y	-54.5
ALDD2ym	-54.5
ALLTAHr	2.8
ALLTAHr_reverse	-2.8
ALLTN	-59.0
ALLTN_reverse	59.0
ALLTNti	1e-05
ALLTTti	1e-05
ALPHNH	-76.0
AMAOTr	-1.072663245537
AMAOTr_reverse	1.072663245537
AMETt2	1e-05
AMETtm	1e-05
AMETtm_reverse	-1e-05
AMID	-12.0
AMID2	-13.0
AMID3	-13.7
AMPDA	-30.0
AMPN	-20.2
AMPtn	1e-05
AMPtn_reverse	-1e-05
ANPRT	-62.0
ANS	-109.0
AOBUTDs	-16.6
AP4AH	-43.0
AP4AH_reverse	43.0
APRTO2	-92.0
ARAB14LO	-1e-05
ARAB14LO_reverse	1e-05
ARAB1D2	-29.9
ARABR	-12.6
ARAB_Dt	1e-05
ARAB_Dt_reverse	-1e-05
ARAB_Lt	1e-05
ARAB_Lt_reverse	-1e-05
ARGN	-34.0
ARGSL	-10.0
ARGSL_reverse	10.0
ARGSS	18.0
ARGSS_reverse	-18.0
ARGTRS	-1e-05
ARGTRSm	-1e-05
ARGt2m	1e-05
ARGt2m_reverse	-1e-05
ARGt2r	1e-05
ARGt2r_reverse	-1e-05
ARGt6	1e-05
ARMT	1e-05
ASAD	-23.4
ASNN	-17.5
ASNNe	-17.5
ASNS1	-39.0
ASNTRS	-1e-05
ASNTRSm	-1e-05
ASNt2m	1e-05
ASNt2m_reverse	-1e-05
ASNt2r	1e-05
ASNt2r_reverse	-1e-05
